p,n,total_time,parallel_time,comp_time,comm_time,overhead,cost
1,4,0.0001,0.0001,0.0001,0.0000,0.0000,445
1,4,0.0001,0.0001,0.0001,0.0000,0.0000,516
1,4,0.0001,0.0001,0.0001,0.0000,0.0000,1087
2,4,0.0018,0.0017,0.0001,0.0017,0.0000,774
2,4,0.0028,0.0028,0.0001,0.0028,0.0000,1327
2,4,0.0017,0.0016,0.0001,0.0016,0.0000,1072
4,4,0.0029,0.0029,0.0001,0.0028,0.0000,1393
4,4,0.0030,0.0030,0.0001,0.0030,0.0000,1097
4,4,0.0002,0.0002,0.0001,0.0001,0.0000,758
1,6,0.0010,0.0010,0.0010,0.0000,0.0000,924
1,6,0.0005,0.0005,0.0005,0.0000,0.0000,500
1,6,0.0007,0.0007,0.0007,0.0000,0.0000,948
2,6,0.0036,0.0036,0.0005,0.0032,0.0000,1008
2,6,0.0010,0.0010,0.0006,0.0007,0.0000,843
2,6,0.0036,0.0036,0.0006,0.0031,0.0000,1176
4,6,0.0034,0.0034,0.0004,0.0030,0.0000,861
4,6,0.0048,0.0047,0.0006,0.0042,0.0000,997
4,6,0.0049,0.0049,0.0006,0.0043,0.0000,1195
1,8,0.0147,0.0147,0.0147,0.0000,0.0000,1038
1,8,0.0157,0.0157,0.0157,0.0000,0.0000,1099
1,8,0.0205,0.0205,0.0205,0.0000,0.0000,1177
2,8,0.0130,0.0129,0.0085,0.0054,0.0001,827
2,8,0.0125,0.0124,0.0074,0.0084,0.0001,690
2,8,0.0111,0.0109,0.0058,0.0077,0.0001,753
4,8,0.0142,0.0141,0.0087,0.0097,0.0001,853
4,8,0.0175,0.0173,0.0089,0.0114,0.0002,864
4,8,0.0285,0.0282,0.0222,0.0224,0.0003,1442
